video_path,num_frames,original_label,class_id,speed_label
SomethingV2/frames/34899,48,Holding something,16,0
SomethingV2/frames/108895,16,Pushing something so that it slightly moves,100,0
SomethingV2/frames/37055,34,Throwing something in the air and letting it fall,154,1
SomethingV2/frames/116814,63,Throwing something against something,152,1
SomethingV2/frames/156381,27,Throwing something,151,1
SomethingV2/frames/181638,34,Throwing something in the air and catching it,153,1
SomethingV2/frames/140721,39,Throwing something against something,152,1
SomethingV2/frames/20060,43,Throwing something in the air and catching it,153,1
SomethingV2/frames/133878,57,Pushing something so that it slightly moves,100,0
SomethingV2/frames/32947,36,Throwing something,151,1
SomethingV2/frames/201282,44,Touching (without moving) part of something,160,0
SomethingV2/frames/15081,56,Something falling like a rock,135,1
SomethingV2/frames/167360,34,Throwing something,151,1
SomethingV2/frames/105743,18,Throwing something,151,1
SomethingV2/frames/26155,40,Something falling like a feather or paper,134,0
SomethingV2/frames/75629,50,Touching (without moving) part of something,160,0
SomethingV2/frames/105750,30,Throwing something,151,1
SomethingV2/frames/57086,30,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/9897,30,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/61928,42,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/31199,41,Throwing something against something,152,1
SomethingV2/frames/50875,41,Touching (without moving) part of something,160,0
SomethingV2/frames/101447,57,Throwing something in the air and letting it fall,154,1
SomethingV2/frames/193683,48,Pushing something so that it slightly moves,100,0
SomethingV2/frames/137799,48,Pushing something so that it slightly moves,100,0
SomethingV2/frames/115707,39,Something falling like a feather or paper,134,0
SomethingV2/frames/156760,42,Throwing something,151,1
SomethingV2/frames/198276,23,Pushing something so that it slightly moves,100,0
SomethingV2/frames/36127,62,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/125902,47,Touching (without moving) part of something,160,0
SomethingV2/frames/57934,34,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/217397,57,Throwing something against something,152,1
SomethingV2/frames/83548,40,Spinning something so it continues spinning,139,1
SomethingV2/frames/38223,47,Throwing something,151,1
SomethingV2/frames/138210,22,Something falling like a feather or paper,134,0
SomethingV2/frames/98379,46,Throwing something in the air and catching it,153,1
SomethingV2/frames/55867,48,Pushing something so that it slightly moves,100,0
SomethingV2/frames/219621,53,Touching (without moving) part of something,160,0
SomethingV2/frames/123203,57,Throwing something,151,1
SomethingV2/frames/201933,36,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/92337,25,Throwing something,151,1
SomethingV2/frames/172478,45,Holding something,16,0
SomethingV2/frames/51507,31,Throwing something onto a surface,155,1
SomethingV2/frames/138196,25,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/189626,64,Something falling like a feather or paper,134,0
SomethingV2/frames/28789,63,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/87938,29,Something falling like a rock,135,1
SomethingV2/frames/123683,29,Poking something so it slightly moves,55,0
SomethingV2/frames/78031,26,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/86670,46,Throwing something in the air and letting it fall,154,1
SomethingV2/frames/215185,32,Poking something so it slightly moves,55,0
SomethingV2/frames/119727,34,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/55029,34,Pushing something so that it slightly moves,100,0
SomethingV2/frames/84726,39,Spinning something so it continues spinning,139,1
SomethingV2/frames/14489,47,Holding something,16,0
SomethingV2/frames/101613,36,Touching (without moving) part of something,160,0
SomethingV2/frames/139080,33,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/122234,36,Throwing something in the air and catching it,153,1
SomethingV2/frames/201462,38,Something falling like a feather or paper,134,0
SomethingV2/frames/159749,36,Touching (without moving) part of something,160,0
SomethingV2/frames/28028,61,Throwing something in the air and catching it,153,1
SomethingV2/frames/109845,64,Spinning something so it continues spinning,139,1
SomethingV2/frames/117313,59,Spinning something so it continues spinning,139,1
SomethingV2/frames/140699,38,Touching (without moving) part of something,160,0
SomethingV2/frames/97647,29,Throwing something,151,1
SomethingV2/frames/97513,44,Holding something,16,0
SomethingV2/frames/44336,28,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/76393,36,Touching (without moving) part of something,160,0
SomethingV2/frames/65697,57,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/128495,35,Spinning something so it continues spinning,139,1
SomethingV2/frames/17456,41,Pushing something so that it slightly moves,100,0
SomethingV2/frames/154067,29,Throwing something,151,1
SomethingV2/frames/85320,38,Throwing something,151,1
SomethingV2/frames/104782,33,Something falling like a feather or paper,134,0
SomethingV2/frames/94811,40,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/193298,44,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/139703,31,Throwing something in the air and catching it,153,1
SomethingV2/frames/126100,44,Throwing something,151,1
SomethingV2/frames/58611,38,Touching (without moving) part of something,160,0
SomethingV2/frames/172189,19,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/216118,51,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/182571,38,Touching (without moving) part of something,160,0
SomethingV2/frames/150519,41,Pushing something so that it slightly moves,100,0
SomethingV2/frames/110524,35,Throwing something,151,1
SomethingV2/frames/184152,39,Throwing something in the air and catching it,153,1
SomethingV2/frames/25465,32,Throwing something in the air and letting it fall,154,1
SomethingV2/frames/19441,30,Throwing something,151,1
SomethingV2/frames/213436,64,Throwing something against something,152,1
SomethingV2/frames/28979,42,Touching (without moving) part of something,160,0
SomethingV2/frames/220818,43,Pushing something so that it slightly moves,100,0
SomethingV2/frames/91706,36,Pushing something so that it slightly moves,100,0
SomethingV2/frames/3720,29,Something falling like a feather or paper,134,0
SomethingV2/frames/22035,43,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/26379,37,Something falling like a rock,135,1
SomethingV2/frames/166552,29,Something falling like a rock,135,1
SomethingV2/frames/218814,43,Throwing something against something,152,1
SomethingV2/frames/110839,29,Throwing something,151,1
SomethingV2/frames/15331,45,Throwing something against something,152,1
SomethingV2/frames/30268,36,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/161176,30,Holding something,16,0
SomethingV2/frames/101191,31,Spinning something that quickly stops spinning,140,0
SomethingV2/frames/199142,34,Something falling like a rock,135,1
SomethingV2/frames/150880,52,Throwing something in the air and catching it,153,1
SomethingV2/frames/174979,25,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/31307,47,Something falling like a rock,135,1
SomethingV2/frames/89971,37,Holding something,16,0
SomethingV2/frames/130088,33,Throwing something against something,152,1
SomethingV2/frames/95046,29,Pushing something so that it slightly moves,100,0
SomethingV2/frames/202202,24,Throwing something against something,152,1
SomethingV2/frames/63333,34,Poking something so it slightly moves,55,0
SomethingV2/frames/88280,40,Throwing something in the air and letting it fall,154,1
SomethingV2/frames/158948,37,Poking something so it slightly moves,55,0
SomethingV2/frames/80716,28,Throwing something,151,1
SomethingV2/frames/48169,41,Throwing something in the air and catching it,153,1
SomethingV2/frames/176596,34,Pushing something so that it slightly moves,100,0
SomethingV2/frames/33141,40,Pushing something so that it slightly moves,100,0
SomethingV2/frames/92290,51,Poking something so lightly that it doesn't or almost doesn't move,56,0
SomethingV2/frames/27240,39,Throwing something against something,152,1
SomethingV2/frames/195331,38,Throwing something,151,1
