video_id,original_id,speed_group,video_path,target_speed
HXhYD9z_DlE_000061_000071_fast,HXhYD9z_DlE_000061_000071,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/HXhYD9z_DlE_000061_000071_fast.mp4,2.0
HXhYD9z_DlE_000061_000071_slow,HXhYD9z_DlE_000061_000071,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/slow/HXhYD9z_DlE_000061_000071_slow.mp4,0.5
vpFfq6ROlhM_000042_000052_fast,vpFfq6ROlhM_000042_000052,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/vpFfq6ROlhM_000042_000052_fast.mp4,2.0
vpFfq6ROlhM_000042_000052_slow,vpFfq6ROlhM_000042_000052,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/slow/vpFfq6ROlhM_000042_000052_slow.mp4,0.5
BLLQVSig85g_000007_000017_fast,BLLQVSig85g_000007_000017,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/BLLQVSig85g_000007_000017_fast.mp4,2.0
BLLQVSig85g_000007_000017_slow,BLLQVSig85g_000007_000017,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/slow/BLLQVSig85g_000007_000017_slow.mp4,0.5
UytdOEGAZbs_000014_000024_fast,UytdOEGAZbs_000014_000024,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/UytdOEGAZbs_000014_000024_fast.mp4,2.0
UytdOEGAZbs_000014_000024_slow,UytdOEGAZbs_000014_000024,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/slow/UytdOEGAZbs_000014_000024_slow.mp4,0.5
1a_Zi7bW3g8_000006_000016_fast,1a_Zi7bW3g8_000006_000016,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/1a_Zi7bW3g8_000006_000016_fast.mp4,2.0
1a_Zi7bW3g8_000006_000016_slow,1a_Zi7bW3g8_000006_000016,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/slow/1a_Zi7bW3g8_000006_000016_slow.mp4,0.5
BE8c82RsBCM_000215_000225_fast,BE8c82RsBCM_000215_000225,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/BE8c82RsBCM_000215_000225_fast.mp4,2.0
BE8c82RsBCM_000215_000225_slow,BE8c82RsBCM_000215_000225,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/slow/BE8c82RsBCM_000215_000225_slow.mp4,0.5
Xq7L2ysxV_U_000055_000065_fast,Xq7L2ysxV_U_000055_000065,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/k400/fast/Xq7L2ysxV_U_000055_000065_fast.mp4,2.0
