video_id,original_id,speed_group,video_path,target_speed
37204_fast,37204,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/37204_fast.mp4,2.0
37204_slow,37204,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/37204_slow.mp4,0.5
80500_fast,80500,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/80500_fast.mp4,2.0
80500_slow,80500,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/80500_slow.mp4,0.5
61522_fast,61522,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/61522_fast.mp4,2.0
61522_slow,61522,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/61522_slow.mp4,0.5
203527_fast,203527,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/203527_fast.mp4,2.0
203527_slow,203527,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/203527_slow.mp4,0.5
133061_fast,133061,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/133061_fast.mp4,2.0
133061_slow,133061,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/133061_slow.mp4,0.5
209932_fast,209932,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/209932_fast.mp4,2.0
209932_slow,209932,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/209932_slow.mp4,0.5
164842_fast,164842,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/164842_fast.mp4,2.0
164842_slow,164842,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/164842_slow.mp4,0.5
157277_fast,157277,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/157277_fast.mp4,2.0
157277_slow,157277,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/157277_slow.mp4,0.5
52987_fast,52987,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/52987_fast.mp4,2.0
52987_slow,52987,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/52987_slow.mp4,0.5
206594_fast,206594,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/206594_fast.mp4,2.0
206594_slow,206594,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/206594_slow.mp4,0.5
40312_fast,40312,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/40312_fast.mp4,2.0
40312_slow,40312,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/40312_slow.mp4,0.5
32178_fast,32178,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/32178_fast.mp4,2.0
32178_slow,32178,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/32178_slow.mp4,0.5
171797_fast,171797,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/171797_fast.mp4,2.0
171797_slow,171797,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/171797_slow.mp4,0.5
61445_fast,61445,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/61445_fast.mp4,2.0
61445_slow,61445,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/61445_slow.mp4,0.5
138251_fast,138251,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/138251_fast.mp4,2.0
138251_slow,138251,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/138251_slow.mp4,0.5
9868_fast,9868,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/9868_fast.mp4,2.0
9868_slow,9868,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/9868_slow.mp4,0.5
210912_fast,210912,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/210912_fast.mp4,2.0
210912_slow,210912,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/210912_slow.mp4,0.5
216741_fast,216741,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/216741_fast.mp4,2.0
216741_slow,216741,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/216741_slow.mp4,0.5
23936_fast,23936,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/23936_fast.mp4,2.0
23936_slow,23936,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/23936_slow.mp4,0.5
196106_fast,196106,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/196106_fast.mp4,2.0
196106_slow,196106,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/196106_slow.mp4,0.5
72929_fast,72929,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/72929_fast.mp4,2.0
72929_slow,72929,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/72929_slow.mp4,0.5
180235_fast,180235,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/180235_fast.mp4,2.0
180235_slow,180235,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/180235_slow.mp4,0.5
198895_fast,198895,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/198895_fast.mp4,2.0
198895_slow,198895,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/198895_slow.mp4,0.5
13309_fast,13309,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/13309_fast.mp4,2.0
13309_slow,13309,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/13309_slow.mp4,0.5
168233_fast,168233,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/168233_fast.mp4,2.0
168233_slow,168233,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/168233_slow.mp4,0.5
114052_fast,114052,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/114052_fast.mp4,2.0
114052_slow,114052,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/114052_slow.mp4,0.5
165400_fast,165400,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/165400_fast.mp4,2.0
165400_slow,165400,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/165400_slow.mp4,0.5
91678_fast,91678,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/91678_fast.mp4,2.0
91678_slow,91678,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/91678_slow.mp4,0.5
40966_fast,40966,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/40966_fast.mp4,2.0
40966_slow,40966,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/40966_slow.mp4,0.5
153350_fast,153350,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/153350_fast.mp4,2.0
153350_slow,153350,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/153350_slow.mp4,0.5
210619_fast,210619,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/210619_fast.mp4,2.0
210619_slow,210619,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/210619_slow.mp4,0.5
129726_fast,129726,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/129726_fast.mp4,2.0
129726_slow,129726,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/129726_slow.mp4,0.5
201947_fast,201947,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/201947_fast.mp4,2.0
201947_slow,201947,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/201947_slow.mp4,0.5
178310_fast,178310,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/178310_fast.mp4,2.0
178310_slow,178310,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/178310_slow.mp4,0.5
109367_fast,109367,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/109367_fast.mp4,2.0
109367_slow,109367,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/109367_slow.mp4,0.5
38957_fast,38957,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/38957_fast.mp4,2.0
38957_slow,38957,slow,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/slow/38957_slow.mp4,0.5
152260_fast,152260,fast,/home/luis.izaguirre/video_features_proy/VideoPrediction/experiments/videos/counterfactuals/ssv2/fast/152260_fast.mp4,2.0
